Project ID,Project Name,Street Number,Street Name,Street Type,Zip Code,City Analysis Neighborhood,Supervisor District,Project Sponsor,Total Units,Total Beds,Affordable Units,Affordable Beds,Single Room Occupancy Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Family Units,Senior Units,TAY Units,Homeless Units,LOSP Units,Disabled Units,20% AMI,30% AMI,40% AMI,50% AMI,60% AMI,80% AMI,120% AMI,More than 120% AMI,Year Building Constructed,Year Affordability Began,Latitude,Longitude,Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9
2001-014,Seneca Hotel,32-40,6th,St,94103,South of Market,6,Tenderloin Housing Clinic,202,0,88,0,88,0,0,0,0,0,0,88,0,0,205,0,0,0,0,0,88,0,0,0,0,2008,2002,37.78,-122.4098587,POINT (-122.4098587 37.78),32,1,10,34,34,28853,14,2,9
1992-007,Clara House,111,Page,St,94102,Hayes Valley,5,Compass Community Services,13,0,13,0,0,0,9,4,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,2002,2002,37.77,-122.4230423,POINT (-122.4230423 37.77),32,1,5,20,19,28853,8,2,5
1998-014,Bayanihan House,88,6th,St,94103,South of Market,6,TODCO Group,152,0,151,0,151,0,0,0,0,0,0,151,0,0,10,0,0,0,0,0,151,0,0,0,0,1912,1999,37.78,-122.4091644,POINT (-122.40916439999998 37.78),32,1,10,34,34,28853,14,2,9
1980-008,Capp Street Apartments,890,Capp,St,94110,Mission,9,Mission Housing Development Corporation,4,0,4,0,0,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1890,1982,37.75,-122.4175644,POINT (-122.41756439999999 37.75),53,3,2,20,19,28859,2,4,7
1994-014,Planetree Housing Program,152-154,Coleridge,St,94110,Bernal Heights,9,HealthRight360,14,0,11,0,0,0,6,5,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,1991,1995,37.74,-122.4202576,POINT (-122.4202576 37.74),83,9,2,2,2,28859,2,7,7
1985-002,Klimm Apartments,460,Ellis,St,94102,Tenderloin,6,Tenderloin Neighborhood Development Corporation,42,0,41,0,0,40,1,0,0,0,0,31,10,0,0,0,0,0,0,0,0,41,0,0,0,1913,1987,37.78,-122.413826,POINT (-122.41382600000001 37.78),21,5,10,36,36,28852,7,10,9
1995-009,Lyric Hotel,140,Jones,St,94102,Tenderloin,6,Conard House,58,0,58,0,58,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,58,0,0,0,0,1920,1996,37.78,-122.4120712,POINT (-122.41207120000001 37.78),32,5,10,34,34,28853,8,2,9
1990-005,Richard M. Cohen Residence,220,Dolores,St,94114,Castro/Upper Market,8,Dolores Street Community Services,10,0,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,1994,1994,37.77,-122.4270401,POINT (-122.42704009999999 37.77),27,7,5,9,10,28852,7,9,5
1994-013,The Rose,125,6th,St,94103,South of Market,6,Mercy Housing California,76,0,75,0,75,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75,0,0,0,0,1997,1997,37.78,-122.4080582,POINT (-122.4080582 37.78),32,1,10,34,34,28853,14,2,9
2016-041,Haight Street Apartments,398,Haight,St,94102,Hayes Valley,5,Tenderloin Neighborhood Development Corporation,12,0,7,0,0,0,5,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,1924,1989,37.77,-122.4286194,POINT (-122.42861939999999 37.77),28,7,5,9,10,28862,7,9,5
