Project ID,Project Status,Project Name,Street Number,Street Name,Street Type,Zip Code,Housing Tenure,Section 415 Declaration,Entitlement Approval Date,Actual/Estimated Completion Date,Planning Case Number,Property Information Map Link,Planning Entitlements,Project Units,Affordable Units,Units Subject to Section 415,On-Site Affordable Units,Off-Site Affordable Units,Off-Site Affordable Units at This Site,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Supervisor District,Neighborhood,Planning Neighborhood,Plan Area,Off-Site Principal Project ID,Off-Site Principal Project,Off-Site Project ID,Off-Site Project,Latitude,Longitude,Location
2005-004,(6) Complete,Galvin Apartments,785-787,Brannan,St,94103,Rental,Units for Off-site Project,02/03/2005,09/07/2006,2004.0560,http://propertymap.sfplanning.org/?search=2004.0560,"2004.0560C,2004.0560C_3,2004.0560E,2004.0560K,2004.0560V",56,56,0,0,0,56,0,56,0,0,0,0,0,0,56,0,0,0,0,0,0,6,South of Market,South of Market,"South of Market, Western SoMa (EN)",2003-015,The Palms,0,0,37.7731938,-122.4025606,POINT (-122.4025606 37.7731938)
2000-001,(6) Complete,2900 22nd,2900,22nd,St,94132,Unknown,Fee Payment,01/01/2000,05/14/2003,1999.589,http://propertymap.sfplanning.org/?search=1999.589,"1999.589E,1999.589Q",14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Mission,Mission,Mission (EN),0,0,0,0,37.75603489,-122.4124912,POINT (-122.4124912 37.75603489)
1995-002,(6) Complete,Harbor Lofts (AKA 400 Spear),101,Harrison,St,94105,Ownership,On-site BMR Project,04/13/1995,04/11/2002,1994.460,http://propertymap.sfplanning.org/?search=1994.460,"1994.460C,1994.460E,1994.460Q,1994.460R",12,2,12,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,6,South of Market,Financial District/South Beach,Rincon Hill,0,0,0,0,37.78833976,-122.3893948,POINT (-122.3893948 37.78833976)
2006-009,(6) Complete,1299 Bush,1299,Bush,St,94109,Unknown,Fee Payment,03/02/2006,10/16/2009,2006.0133,http://propertymap.sfplanning.org/?search=2006.0133,"2006.0133C,2006.0133V",26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Downtown/Civic Center,Nob Hill,,0,0,0,0,37.78870885,-122.4183981,POINT (-122.4183981 37.78870885)
2009-009,(6) Complete,Rincon Green,333,Harrison,St,94105,Rental,On-site BMR Project,03/19/2009,02/27/2013,2007.1250,http://propertymap.sfplanning.org/?search=2007.1250,"2007.1250E,2007.1250F,2007.1250K,2007.1250S,2007.1250T,2007.1250U,2007.1250V,2007.1250X",326,50,326,50,0,0,0,29,19,2,0,0,50,0,0,0,0,0,0,0,0,6,South of Market,Financial District/South Beach,"East SoMa (EN), Rincon Hill",0,0,0,0,37.78605126,-122.3913637,POINT (-122.3913637 37.78605126)
2002-005,(6) Complete,77 Van Ness,77,Van Ness,Ave,94103,Ownership,On-site BMR Project,01/10/2002,08/25/2009,2006.0546,http://propertymap.sfplanning.org/?search=2006.0546,"2006.0546C,2006.0546Q",50,6,50,6,0,0,0,1,4,1,0,0,0,0,0,0,0,0,6,0,0,5,Downtown/Civic Center,Hayes Valley,Downtown,0,0,0,0,37.77606282,-122.4198501,POINT (-122.4198501 37.77606282)
2001-009,(6) Complete,Chelsea Park,3620,19th,St,94110,Ownership,On-site BMR Project,04/05/2001,04/01/2009,1999.210,http://propertymap.sfplanning.org/?search=1999.210,"1999.210C,1999.210E",39,5,39,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,8,Mission,Mission,,0,0,0,0,37.76061957,-122.4243636,POINT (-122.4243636 37.76061957)
2007-016,(6) Complete,555 Bartlett,3400,Cesar Chavez,St,94110,Ownership,On-site BMR Project,04/19/2007,04/16/2010,2005.0030,http://propertymap.sfplanning.org/?search=2005.0030,"2005.0030C,2005.0030E,2005.0030E_3,2005.0030E_4,2005.0030E_6,2005.0030K",58,9,58,9,0,0,0,2,3,3,1,0,0,0,0,0,0,9,0,0,0,9,Mission,Mission,Mission (EN),0,0,0,0,37.74849661,-122.4186624,POINT (-122.4186624 37.74849661)
2013-060,(6) Complete,400 Grove,400,Grove,St,94102,Ownership,On-site BMR Project,01/31/2013,11/04/2016,2012.0083,http://propertymap.sfplanning.org/?search=2012.0083,"2012.0083C,2012.0083E,2012.0083E_3,2012.0083E_5,2012.0083PPA,2012.0083Q,2012.0083R,2012.0083U,2012.0083V",34,4,34,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,4,0,0,5,Western Addition,Hayes Valley,Market and Octavia,0,0,0,0,37.77800075,-122.4235343,POINT (-122.4235343 37.77800075)
2016-109,(3) Design with Entitlements Approved,1001 Van Ness,1001,Van Ness,Ave,94109,Unknown,Fee Payment,10/20/2016,10/19/2023,2014.1305,http://propertymap.sfplanning.org/?search=2014.1305,"2014.1305CUA,2014.1305U",239,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Western Addition,Western Addition,Van Ness Corridor,0,0,0,0,37.78492975,-122.4219108,POINT (-122.4219108 37.78492975)
